상권_코드,상권_코드_명_x,경도(WGS84),위도(WGS84)
3110382,솔밭공원역 1번,127.013250,37.655972
3110383,덕성여대시반거리,127.013768,37.651419
3110386,연산군묘,127.023834,37.660941
3110387,쌍문초등학교,127.024465,37.650408
3110388,도봉우체국,127.030345,37.647551
3110389,한일병원,127.029993,37.644334
3110390,방학초등학교,127.031995,37.662948
3110391,샘말어린이공원,127.033199,37.669435
3110393,국민은행방학지점,127.033241,37.662128
3110394,방학중학교,127.035204,37.666641
3110395,신한은행 방학동지점,127.036472,37.663821
3110396,쌍문역1번(쌍리단길),127.036464,37.648288
3110397,도봉산입구,127.037775,37.684498
3110398,쌍문2동우체국,127.037148,37.654892
3110399,창2동주민센터,127.039135,37.641575
3110400,도봉구보건소,127.039178,37.659009
3110401,도봉구민회관,127.039471,37.655008
3110402,도봉구 정병원,127.039338,37.661748
3110403,방학1동주민센터,127.040088,37.664856
3110404,신창초등학교,127.040515,37.63625
3110405,방학역 1번,127.04102,37.669144
3110406,도봉산역 1번,127.042154,37.689821
3110407,도봉역 2번,127.040967,37.675496
3110408,가인초등학교,127.04149,37.658792
3110409,창동역 2번,127.043392,37.655088
3110410,방학역 2번,127.044647,37.669107
3110411,도봉역 3번,127.045705,37.675774
3110412,창동중학교,127.048054,37.661636
3110413,누원고등학교,127.047592,37.683602
3120079,창동역,127.047685,37.652392
3130144,백운시장,127.015616,37.655555
3130145,쌍문역둘리상점가,127.032282,37.646109
3130146,쌍문시장(쌍문역골목시장),127.032328,37.648262
3130147,쌍문역동측상점가,127.035002,37.646802
3130148,방학동도깨비시장,127.03526,37.665173
3130149,창동신창시장,127.037197,37.639719
3130150,창동골목시장,127.039179,37.638565
3130151,신도봉시장,127.041621,37.67027
3130152,오!도봉거리 상점가,127.04593,37.673008
3130153,창동역상점가,127.049295,37.652914
